class,TLOC, TASSERT
./src/test/java/org/jfree/data/category/CategoryToPieDatasetTest.java,124,17
./src/test/java/org/jfree/data/KeyToGroupMapTest.java,124,37
./src/test/java/org/jfree/chart/renderer/xy/CandlestickRendererTest.java,125,38
./src/test/java/org/jfree/data/xy/DefaultXYDatasetTest.java,125,28
./src/test/java/org/jfree/chart/legend/LegendGraphicTest.java,127,41
./src/test/java/org/jfree/chart/text/format/RelativeDateFormatTest.java,127,30
./src/test/java/org/jfree/chart/annotations/XYLineAnnotationTest.java,128,33
./src/test/java/org/jfree/data/xy/DefaultXYZDatasetTest.java,131,28
./src/test/java/org/jfree/data/statistics/RegressionTest.java,134,16
./src/test/java/org/jfree/chart/renderer/xy/StackedXYAreaRendererTest.java,138,15
./src/test/java/org/jfree/chart/axis/ValueAxisTest.java,139,39
./src/test/java/org/jfree/data/time/ohlc/OHLCSeriesCollectionTest.java,139,23
./src/test/java/org/jfree/data/xy/TableXYDatasetTest.java,139,34
./src/test/java/org/jfree/chart/plot/FastScatterPlotTest.java,140,38
./src/test/java/org/jfree/chart/plot/ValueMarkerTest.java,140,42
./src/test/java/org/jfree/chart/annotations/XYBoxAnnotationTest.java,141,21
./src/test/java/org/jfree/data/statistics/HistogramDatasetTest.java,141,51
./src/test/java/org/jfree/chart/plot/MeterPlotTest.java,144,49
./src/test/java/org/jfree/data/time/ohlc/OHLCSeriesTest.java,146,36
./src/test/java/org/jfree/chart/renderer/xy/YIntervalRendererTest.java,153,43
./src/test/java/org/jfree/data/statistics/DefaultMultiValueCategoryDatasetTest.java,153,32
./src/test/java/org/jfree/chart/renderer/xy/XYAreaRendererTest.java,154,32
./src/test/java/org/jfree/data/DataUtilsTest.java,154,51
./src/test/java/org/jfree/chart/plot/dial/StandardDialScaleTest.java,155,61
./src/test/java/org/jfree/chart/plot/CombinedRangeXYPlotTest.java,157,9
./src/test/java/org/jfree/data/xy/YIntervalSeriesTest.java,158,47
./src/test/java/org/jfree/data/statistics/DefaultStatisticalCategoryDatasetTest.java,159,46
./src/test/java/org/jfree/chart/renderer/xy/StandardXYItemRendererTest.java,160,36
./src/test/java/org/jfree/chart/StandardChartThemeTest.java,160,61
./src/test/java/org/jfree/data/xy/VectorSeriesTest.java,160,48
./src/test/java/org/jfree/chart/plot/CombinedDomainCategoryPlotTest.java,161,9
./src/test/java/org/jfree/chart/plot/CombinedRangeCategoryPlotTest.java,161,8
